gene_id,gene_symbol,half_life_h,cell_line,source
Bri3bp,Bri3bp,4.41159088180623,mESC,Herzog2017_SLAMseq
Brk1,Brk1,6.151196036258,mESC,Herzog2017_SLAMseq
Brk1,Brk1,3.70375193249243,mESC,Herzog2017_SLAMseq
Brms1,Brms1,5.09146668592715,mESC,Herzog2017_SLAMseq
Brms1l,Brms1l,1.18277894554352,mESC,Herzog2017_SLAMseq
Brpf1,Brpf1,2.33904579156748,mESC,Herzog2017_SLAMseq
Brpf3,Brpf3,1.12707464989004,mESC,Herzog2017_SLAMseq
Brsk1,Brsk1,1.28683418420529,mESC,Herzog2017_SLAMseq
Bsdc1,Bsdc1,2.52287328672902,mESC,Herzog2017_SLAMseq
Bsg,Bsg,8.74320091242063,mESC,Herzog2017_SLAMseq
Btbd11,Btbd11,5.45191603112431,mESC,Herzog2017_SLAMseq
Btg1,Btg1,1.98554081257857,mESC,Herzog2017_SLAMseq
Btrc,Btrc,4.06947667485745,mESC,Herzog2017_SLAMseq
Bub1b,Bub1b,3.64253694669247,mESC,Herzog2017_SLAMseq
Bub3,Bub3,4.14224846852689,mESC,Herzog2017_SLAMseq
Bub3,Bub3,3.02492327158684,mESC,Herzog2017_SLAMseq
Bud13,Bud13,2.92578512342497,mESC,Herzog2017_SLAMseq
Bud31,Bud31,4.42555475457912,mESC,Herzog2017_SLAMseq
Bvht,Bvht,3.10226670604123,mESC,Herzog2017_SLAMseq
Bzw1,Bzw1,6.1666896077731,mESC,Herzog2017_SLAMseq
Bzw1,Bzw1,4.03296019875555,mESC,Herzog2017_SLAMseq
C1d,C1d,7.85073026778132,mESC,Herzog2017_SLAMseq
C2cd3,C2cd3,3.52608487233792,mESC,Herzog2017_SLAMseq
Cab39,Cab39,2.8978146990498,mESC,Herzog2017_SLAMseq
Cacfd1,Cacfd1,3.89053033116319,mESC,Herzog2017_SLAMseq
Cacna1a,Cacna1a,3.36574530030574,mESC,Herzog2017_SLAMseq
Cacng6,Cacng6,2.48990510137776,mESC,Herzog2017_SLAMseq
Cacng7,Cacng7,6.56487400519943,mESC,Herzog2017_SLAMseq
Cactin,Cactin,2.67117794913036,mESC,Herzog2017_SLAMseq
Cad,Cad,8.62868776732674,mESC,Herzog2017_SLAMseq
Cadm1,Cadm1,4.46955930611933,mESC,Herzog2017_SLAMseq
Calm1,Calm1,6.53907314037423,mESC,Herzog2017_SLAMseq
Calm1,Calm1,6.38793262183722,mESC,Herzog2017_SLAMseq
Calm1,Calm1,6.71805749498018,mESC,Herzog2017_SLAMseq
Calu,Calu,5.94455983197975,mESC,Herzog2017_SLAMseq
Caml,Caml,0.834034196610526,mESC,Herzog2017_SLAMseq
Camsap3,Camsap3,2.81266171946654,mESC,Herzog2017_SLAMseq
Capn10,Capn10,4.47480006899974,mESC,Herzog2017_SLAMseq
Capn7,Capn7,3.4565288040809,mESC,Herzog2017_SLAMseq
Capza2,Capza2,4.81314390499973,mESC,Herzog2017_SLAMseq
Capza2,Capza2,4.50410612993784,mESC,Herzog2017_SLAMseq
